post_id,title,article_link,article_title,short_description,long_description,category,image,video_link,likes_count,comments_count,shares_count
1122685109887021,"مارسيليا يستعيد الوصافة وليل ثالثاً

شاهد ""هاتريك"" الجزائري أمين غويري في شباك بريست

#الدوري_الفرنس...",https://bit.ly/4jsKmts,مارسيليا يستعيد الوصافة وليل ثالثاً | beIN SPORTS,"قاد الدولي الجزائري أمين غويري فريقه مارسيليا لاستعادة المركز الثاني بعد أن أحرز ثلاثية ""هاتريك"" مسهماً في الفوز الكبير على الضيف بريست 4-1 في المرحلة الحادية والثلاثين من الدوري الفرنسي لكرة القدم، فيما انتزع ليل المركز الثالث من موناكو بفوزه على انجيه 2-0 الأحد.","وبتحقيقه فوزه الثاني توالياً، قفز مارسيليا من جديد إلى المركز الثاني برصيد 58 نقطة بفارق نقطتين عن ليل وثلاث عن موناكو الرابع.

ويدين فريق المدرب الايطالي روبرتو دي تزيربي بالفوز إلى ثلاثية غويري (8 و45 و63) وهدف الإنجليزي مايسون غرينوود (37).

وجاء هدف بريست الذي يحتل المركز التاسع بـ 44 نقطة، عبر السنغالي عبدالله سيما (25).

وحقق ليل المنقوص عددياً فوزاً ثميناً على مضيفه انجيه بثنائية نظيفة.

ويدين ليل بفوزه الى هدفي البرازيلي ألكساندرو ريبيرو (45) والأيسلندي هاكون أرنار هارالدسون (50)، حيث نجح في الاحتفاظ بتقدمه على الرغم من طرد مدافعه بافوديه دياكيتيه (67) لنيله بطاقتين صفراويين.

ورفع ليل الذي حقق فوزه الثالث توالياً، رصيده إلى 56 نقطة متجاوزاً بفارق نقطة واحدة موناكو (55) الذي سقط في فخ التعادل السبت أمام مضيفه لوهافر 1-1 وسط صراع شرس على انتزاع البطاقات المؤهلة إلى المسابقات القارية الموسم وفي طليعتها دوري أبطال أوروبا.

وفي النتائج الاخرى، تعادل نانت مع ضيفه تولوز المنقوص من دون أهداف، فيما ألحق أوكسير هزيمة ثقيلة بلنس الثامن 4-0.

كما تعادل مونبلييه الذي تأكد هبوطه أمام رانس من دون أهداف.",كرة القدم,https://s2.dmcdn.net/v/YJB3Q1e3gQ6rJDHWy/x1080,https://geo.dailymotion.com/player/xakml.html?video=k3yTAMRovTe8dtCWxbs&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2FLigue-1%2Farticles-video,3035,74,12
1122663243222541,"منتخب مصر يتخطى جنوب إفريقيا في كأس أمم إفريقيا تحت 20 عاماً

#كأس_أمم_إفريقيا_للشباب  #مصر_جنوب_افر...",https://bit.ly/3REs6Bk,منتخب مصر يتخطى جنوب إفريقيا في كأس أمم إفريقيا تحت 20 عاماً  | beIN SPORTS,في كأس أمم إفريقيا تحت عشرين عاماً ولحساب مباريات المجموعة الأولى فاز المنتخب المصري صاحبُ الأرض على نظيره الجنوب إفريقي 1-0.,المنتخب المصري تمكن من تسجيل هدف الفوز  عن طريق محمد عبد الله في الدقيقة 62، ليعتلي بذلك البلد المنظم صدارة المجموعة.,كرة القدم,https://s2.dmcdn.net/v/YJAdM1e3fgyr4R4Ax/x1080,https://geo.dailymotion.com/player/xakml.html?video=k1BdYfIvRsBxACCWwIu&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2Farticles-video,2555,121,11
1122631676559031,"كاواساكي فرونتال إلى نصف نهائي دوري أبطال آسيا للنخبة 

 ملخص وأهداف مباراة كاواساكي والسد

#دوري_أب...",https://bit.ly/4cSb8Js,كاواساكي فرونتال إلى نصف نهائي دوري أبطال آسيا للنخبة - ملخص وأهداف مباراة كاواساكي والسد | beIN SPORTS,تأهل كاواساكي فرونتال الياباني إلى نصف نهائي دوري أبطال آسيا للنخبة بعدما تخطى السد القطري 3-2 بعد التمديد في ربع نهائي المسابقة على أرضية ملعب الأمير عبد الله الفيصل بمدينة جدة في المملكة العربية السعودية.,"وسجل للسد البرازيلي باولو أوتافيو 8، ومواطنه كلاودينهو 70، فيما سجل لكاواساكي البرازيلي إيرسون 3، ومواطنه مارسيو دا سيلفا باربوزا 20، ويوساوتو واكيزاكا في الشوط الإضافي الأول 98.

وتُقام مباريات المرحلة النهائية من بطولة دوري أبطال آسيا للنخبة انطلاقاً من الدور ربع النهائي بنظام التجمّع بمدينة جدّة في المملكة العربية السعودية.

وسيقابل كاواساكي فريق النصر السعودي يوم الأربعاء القادم، بينما نصف النهائي الآخر يجمع الهلال السعودي بمواطنه الأهلي الثلاثاء.",كرة القدم,https://prod-media.beinsports.com/image/1745780625465_ef5d03d7-9e8b-4e45-96dd-2ab57503664c.1080.png,https://geo.dailymotion.com/player/xakml.html?video=k1yX4xqqhvMK8qCWw8G&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2Fafc-champions-league%2Farticles-video,1190,19,8
1122620169893515,"أرسنال إلى نهائي دوري أبطال أوروبا للسيدات

▶️ شاهد ملخص المباراة

#دوري_أبطال_أوروبا_للسيدات #ليون_...",https://bit.ly/446ZNCV,أرسنال إلى نهائي دوري أبطال أوروبا للسيدات | beIN SPORTS,حققت سيدات أرسنال مفاجئة من العيار الثقيل بعد قلبهن الخسارة ذهاباً 1-2 إلى فوز على ليون في عقر داره 4-1 في إياب نصف نهائي دوري أبطال أوروبا ليتأهلن إلى المشهد الختامي.,وضرب أرسنال موعداً بالنهائي في الرابع و الشعرين من الشهر المقبل أمام برشلونة في لشبونة.,كرة القدم,https://s1.dmcdn.net/v/YJ8Ve1e3duhnS1be9/x1080,https://geo.dailymotion.com/player/xakml.html?video=k3mEpgYGYtFsBPCWuso&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2Fwomen-champions-league%2Farticles-video,1547,32,9
1122590723229793,"مانشستر يونايتد يقتنص تعادلاً صعباً من أرض بورنموث

▶️ شاهد ملخص المباراة

#الدوري_الإنجليلزي_الممتا...",https://bit.ly/3GEXBbU,مانشستر يونايتد يقتنص تعادلاً صعباً من أرض بورنموث  | beIN SPORTS,انتهت مباراة بورنموث وضيفه مانشستر يونايتد بالتعادل الإيجابي 1-1 اليوم الأحد في الجولة 34 من الدوري الإنجليزي الممتاز.,"وافتتح أنطوان سيمينيو التسجيل لأصحاب الأرض في الدقيقة 23 ثم أدرك راسموس هويلوند التعادل للضيوف في الدقيقة 90+6.

يذكر أن بورنموث قد أكمل المباراة بنقص عددي بعد خروج إيفانيلسون بالبطاقة الحمراء.

ويحتل بورنموث المركز العاشر بـ50 نقطة بينما يأتي مانشستر يونايتد في المركز 14 مؤقتاً بـ39 نقطة.",كرة القدم,https://prod-media.beinsports.com/image/1745766524464_3f7e2922-5fce-4619-b635-a2841ca3dbcd.1080.png,https://geo.dailymotion.com/player/xakml.html?video=k4tDSwexkMLPYDCWqjQ&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2FPremier-League%2Farticles-video,1436,7,6
1122589609896571,"نهضة بركان إلى نهائي كأس الاتحاد الإفريقي

▶️ شاهد ملخص المباراة

#كأس_الاتحاد_الإفريقي | #شباب_قسنط...",https://bit.ly/4jMwUkB,نهضة بركان إلى نهائي كأس الاتحاد الإفريقي - ملخص وأهداف مباراة شباب قسنطينة ونهضة بركان | beIN SPORTS,تأهل نهضة بركان المغربي إلى نهائي كأس الاتحاد الإفريقي رغم الخسارة أمام مضيفه شباب قسنطينة الجزائري 1-0 مقابل مستفيداً من انتصاره ذهاباً 4-0.,"وبعد شوط أول انتهى دون أهداف تمكن شباب قسنطينة من التسجيل عن طريق عبد النور بالحسيني في الدقيقة الثانية من الشوط الثاني.

نهضة بركان سيواجه في المشهد الختامى سيمبا التنزاني الذي حجز مقعده بعد تعادلِهِ سلبا مع مضيفِهِ ستيلينبوش الجنوب إفريقي في مواجهةِ الإياب مستفيداً من فوزِهِ ذهاباً بهدفٍ دون مقابل.

مواجهة شهدت بعض الفرص من الجانبين، لكنها لم تترجم إلى أهداف، لتنتهي بالتعادل ويعبر الفريق التنزاني إلى المشهد الختامي للبطولة الإفريقية.",كرة القدم,https://s1.dmcdn.net/v/YJ8Vg1e3dcHSBRPdl/x1080,https://geo.dailymotion.com/player/xakml.html?video=k6YzTj7pUeKZuLCWusq&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2Farticles-video,4079,453,17
1122588789896653,"مانشستر سيتي يبلغ نهائي كأس الاتحاد الإنجليزي

▶️ شاهد ملخص المباراة

#كأس_الاتحاد_الإنجليزي | #نوتن...",https://bit.ly/42QLD6M,مانشستر سيتي يبلغ نهائي كأس الاتحاد الإنجليزي - ملخص وأهداف مباراة مانشستر سيتي ونوتينغهام فورست | beIN SPORTS,بلغ مانشستر سيتي نهائي كأس الاتحاد الإنجليزي بعدما غلب نوتينغهام فورست 2-0 الأحد ضمن نصف نهائي المسابقة على ملعب ويمبلي.,"وسجل لسيتي ريكو لويس 2، والكرواتي جوشكو غفارديول 51.

وسيلعب فريق المدرب بيب غوارديولا المباراة النهائية لكأس الاتحاد الإنجليزي ضد كريستال بالاس يوم 17 أيار/مايو المقبل على ملعب ويمبلي.

ًوخاض سيتي، الذي يحتل المركز الرابع في الدوري، نصف نهائي الكأس للعام السابع تواليا.

ولم يعرف المدرب الكاتالوني غوارديولا سوى موسم وحيد دون أي لقب في إنجلترا، كان الأول في 2016-2017.

وخسر كريستال بالاس نهائي الكأس مرتين على ملعب ويمبلي في 1990 و2016.",كرة القدم,https://prod-media.beinsports.com/image/1745775026671_7c5ac8df-f996-4d6a-9d91-928289984060.1080.png,No video,2281,14,6
1121866729968859,"ليون يقسو على رين

▶️ شاهد ملخص المباراة

#الدوري_الفرنسي",https://bit.ly/42GKnnX,ليون يقسو على رين  | beIN SPORTS,حقّق أولمبيك ليون فوزاً كبيراً على ضيفه رين بأربعة أهداف لواحد السبت في المرحلة الحادية والثلاثين من منافسات الدوري الفرنسي لكرة القدم.,"وسجّل ماليك فوفانا (8) وكورونتان توليسو (25) وألكسندر لاكازيت (39) وجيورج ميكوتادزي (77) أهداف الفريق الفائز.

أمّا هدف الفريق الخاسر فقد وقّع عليه محمد ميتي (50).

وبهذا الانتصار رفع ليون رصيده إلى 54 نقطة في المركز الرابع مؤقتاً.

في المقابل تجمّد رصيد رين عند 38 نقطة في المرتبة العاشرة مؤقتاً.",كرة القدم,https://prod-media.beinsports.com/image/%D9%84%D9%8A%D9%88%D9%86%20%D9%8A%D9%82%D8%B3%D9%88%20%D8%B9%D9%84%D9%89%20%D8%B1%D9%8A%D9%86.1080.jpg,https://geo.dailymotion.com/player/xakml.html?video=k2AT7WP5EKz8xzCWczw&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2FLigue-1%2Farticles-video,2070,62,8
1121859473302918,"النصر يتجاوز عقبة يوكوهاما إف مارينوس ويعبر إلى نصف نهائي دوري أبطال آسيا للنخبة

▶️ شاهد ملخص المبا...",https://bit.ly/3RWHQzP,النصر يتجاوز عقبة يوكوهاما إف مارينوس ويعبر إلى نصف نهائي دوري أبطال آسيا للنخبة - شاهد ملخص المباراة | beIN SPORTS,تجاوز النصر السعودي عقبة منافسه يوكوهاما إف مارينوس الياباني بفوزه عليه بأربعة أهداف لواحد السبت في ربع نهائي دوري أبطال آسيا للنخبة.,"ووقّع الكولومبي جون دوران (27 و49) والسنغالي ساديو ماني (31) والبرتغالي كريستيانو رونالدو (38) على أهداف الفريق السعودي.

في المقابل بصم كوتا واتانابي على الهدف الوحيد للفريق الياباني (53).

وبذلك عبر النصر إلى ""المربّع الذهبي"" للبطولة القارية.

وسيواجه النصر في نصف النهائي، الفائز من مواجهة السد القطري وكاوازاكي فرونتال الياباني التي تُجرى الأحد، من أجل بطاقة المشهد الختامي لدوري أبطال آسيا للنخبة.

وتُقام مباريات المرحلة النهائية من بطولة دوري أبطال آسيا للنخبة انطلاقاً من الدور ربع النهائي بنظام التجمّع بمدينة جدّة في المملكة العربية السعودية.",كرة القدم,https://prod-media.beinsports.com/image/1745702896361_a1995a0f-a430-4677-9712-d07a2135227d.1080.jpg,https://geo.dailymotion.com/player/xakml.html?video=k4lr5koMmovMdgCWczC&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2Fafc-champions-league%2Farticles-video,2875,30,8
1121858719969660,"ريكسهام يصعد إلى دوري الدرجة الأولى الإنجليزي

#التشامبيونشيب #ريكسهام",https://bit.ly/3Yhp1Ld,ريكسهام يصعد إلى دوري الدرجة الأولى الإنجليزي | beIN SPORTS,صعد ريكسهام، النادي المملوك لنجمي هوليوود روب ماك إيليني وريان رينولدس، إلى دوري الدرجة الأولى الإنجليزي وذلك بعد فوزه في الجولة الخامسة والأربعين ما قبل الأخيرة على ضيفه تشارلتون أثليتيك بثلاثية نظيفة.,"وافتتح أوليفر راثبون التسجيل لأصحاب الأرض بعد ربع ساعة من اللعب (15).

وأضاف سام سميث الهدف الثاني عند الدقيقة (18)، قبل أن يعود اللاعب ذاته مدوّناً ثنائيّته الشخصيّة ومختتماً ثلاثية فريقه قبل نهاية الوقت الأصلي بدقائق (81).",كرة القدم,https://prod-media.beinsports.com/image/%D8%B1%D9%8A%D9%83%D8%B3%D9%87%D8%A7%D9%85%20%D9%8A%D8%B5%D8%B9%D8%AF%20%D8%A5%D9%84%D9%89%20%D8%AF%D9%88%D8%B1%D9%8A%20%D8%A7%D9%84%D8%AF%D8%B1%D8%AC%D8%A9%20%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89%20%D8%A7%D9%84%D8%A5%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A.1080.jpg,https://geo.dailymotion.com/player/xakml.html?video=k5xkf9Ycww923wCWbZE&customConfig%5BcustomParams%5D=%2Far-mena%2Ffootball%2Farticles-video,2078,16,8
